epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,25.9914,1.2018,1.5511,1.52057,0.40222,0.1155,0.09019,0.04395,2.1599,3.66124,2.40557,0.000444719,0.000444719,0.000444719
42,26.5511,1.61317,2.45967,1.70087,0.34835,0.09048,0.09445,0.04101,2.17849,3.79271,2.42621,0.000448231,0.000448231,0.000448231
43,27.1553,1.76735,2.06182,1.89731,0.55678,0.09292,0.12441,0.04489,2.1602,3.50421,2.31073,0.000451382,0.000451382,0.000451382
44,27.7991,1.379,1.5713,1.50768,0.73131,0.17689,0.1747,0.0723,2.08089,3.42431,2.12427,0.000454174,0.000454174,0.000454174
45,28.3954,1.24523,2.31552,1.52433,0.72322,0.18095,0.19419,0.09775,1.98453,3.60335,1.99624,0.000456605,0.000456605,0.000456605
46,29.0188,1.32519,1.66155,1.47344,0.67489,0.17559,0.14796,0.06821,2.07993,3.51462,2.07776,0.000458677,0.000458677,0.000458677
47,29.5826,1.47803,1.60724,1.83408,0.34359,0.18095,0.12976,0.04628,2.20617,3.55154,2.21894,0.000460389,0.000460389,0.000460389
48,30.1385,1.44856,2.3217,1.55032,0.51771,0.15238,0.13409,0.07181,2.10668,3.32113,2.11979,0.00046174,0.00046174,0.00046174
49,30.7009,1.52906,1.80423,1.62525,0.50465,0.11235,0.12412,0.07784,1.98205,3.35392,1.96078,0.000462732,0.000462732,0.000462732
50,31.2836,1.44009,1.60846,1.49676,0.29415,0.08571,0.13089,0.07197,1.92712,3.60164,2.02822,0.000463364,0.000463364,0.000463364
51,31.8888,1.18058,1.75133,1.39634,0.18146,0.20476,0.13355,0.06903,1.8191,3.90103,1.96087,0.000459045,0.000459045,0.000459045
52,32.4788,1.36829,1.44371,1.58733,0.14764,0.18571,0.11051,0.06277,1.78076,3.97289,1.92268,0.000450046,0.000450046,0.000450046
53,33.0849,1.51432,1.68211,1.65995,0.42057,0.15714,0.12905,0.0736,1.75808,4.01531,1.89037,0.000441047,0.000441047,0.000441047
54,33.6496,1.53012,1.4569,1.46366,0.44566,0.15714,0.1586,0.08276,1.86419,4.06489,2.03153,0.000432048,0.000432048,0.000432048
55,34.2624,1.33977,1.5473,1.61055,0.46076,0.20851,0.18918,0.08674,2.01042,3.92778,2.16638,0.000423049,0.000423049,0.000423049
56,34.8292,1.40848,2.1693,1.50112,0.45149,0.27143,0.23604,0.09233,2.13686,3.82174,2.30616,0.000414049,0.000414049,0.000414049
57,35.4114,1.26948,1.51157,1.37253,0.73066,0.21429,0.22922,0.06945,2.24766,3.85603,2.49304,0.00040505,0.00040505,0.00040505
58,35.9911,1.32442,1.78435,1.55733,0.7658,0.21124,0.21667,0.0688,2.33944,3.70456,2.6981,0.000396051,0.000396051,0.000396051
59,36.5746,1.39757,1.85863,1.58838,0.79502,0.15714,0.18172,0.06565,2.43839,3.38099,2.68663,0.000387052,0.000387052,0.000387052
60,37.2145,1.43933,1.3388,1.42969,0.17231,0.27143,0.19877,0.06933,2.31502,3.33743,2.53806,0.000378053,0.000378053,0.000378053
61,37.7785,1.69313,1.37891,2.07699,0.28098,0.27143,0.20731,0.09085,2.15525,3.24106,2.38656,0.000369054,0.000369054,0.000369054
62,38.3598,1.50062,1.58589,1.64933,0.31068,0.24286,0.2112,0.09168,2.04123,3.28293,2.38573,0.000360055,0.000360055,0.000360055
63,39.0587,1.53389,1.31997,1.53524,0.71135,0.21429,0.22991,0.09739,1.94051,3.17325,2.24016,0.000351056,0.000351056,0.000351056
64,39.6611,1.30871,1.35182,1.53699,0.24378,0.27619,0.17546,0.08379,1.94135,3.02761,2.2328,0.000342057,0.000342057,0.000342057
65,40.231,1.86115,1.84594,2.10843,0.24621,0.22322,0.19007,0.09772,1.83242,2.95862,2.10166,0.000333058,0.000333058,0.000333058
66,40.8365,1.13769,1.26827,1.44524,0.72825,0.18571,0.21701,0.12164,1.82014,3.00228,2.02299,0.000324058,0.000324058,0.000324058
67,41.4343,1.71524,1.53448,1.83033,0.26761,0.30476,0.248,0.13229,1.9341,2.9496,2.07175,0.000315059,0.000315059,0.000315059
68,42.0178,1.60829,1.34929,1.69851,0.27926,0.28959,0.25562,0.144,1.86669,2.91793,2.03241,0.00030606,0.00030606,0.00030606
69,42.8138,1.19916,1.3295,1.38177,0.49897,0.27143,0.26689,0.14888,1.8846,2.80403,2.02728,0.000297061,0.000297061,0.000297061
70,43.3995,1.40521,1.41542,1.51032,0.72342,0.24286,0.25386,0.1367,1.85348,2.7551,2.0649,0.000288062,0.000288062,0.000288062
71,43.9844,1.5946,1.52101,1.46871,0.19472,0.3,0.24215,0.12015,1.79889,2.78668,2.04023,0.000279063,0.000279063,0.000279063
72,44.5562,1.88865,1.53717,1.96915,0.46307,0.26105,0.21125,0.10046,1.79514,2.89377,2.0683,0.000270064,0.000270064,0.000270064
73,45.1324,1.58746,1.25663,1.7853,0.74357,0.23635,0.18915,0.09678,1.81771,2.94569,2.02854,0.000261065,0.000261065,0.000261065
74,45.7241,1.20534,1.08111,1.39884,0.45303,0.23211,0.17812,0.08379,1.85229,3.10473,2.04581,0.000252066,0.000252066,0.000252066
75,46.3069,1.60133,1.43458,1.72065,0.44817,0.2389,0.18107,0.0803,1.89985,2.98688,2.10453,0.000243067,0.000243067,0.000243067
76,46.8908,1.61997,1.69524,2.00811,0.65937,0.24286,0.19968,0.09338,1.91375,2.91456,2.13177,0.000234068,0.000234068,0.000234068
77,47.5126,1.37659,1.38781,1.4252,0.43319,0.30476,0.22536,0.10988,1.9291,2.93249,2.18188,0.000225068,0.000225068,0.000225068
78,48.1036,1.15361,1.30249,1.50506,0.44214,0.33333,0.22966,0.12295,1.96449,2.86493,2.1668,0.000216069,0.000216069,0.000216069
79,48.6559,1.20379,1.34402,1.511,0.45825,0.32953,0.24089,0.11894,1.9651,2.86574,2.15551,0.00020707,0.00020707,0.00020707
80,49.2671,1.42153,1.53723,1.81875,0.45159,0.29281,0.25829,0.13651,1.93223,2.79246,2.09987,0.000198071,0.000198071,0.000198071
81,49.8568,1.75579,2.2428,1.95364,0.65121,0.27015,0.21984,0.11477,1.96962,2.8544,2.10736,0.000189072,0.000189072,0.000189072
82,50.4083,1.21068,1.31704,1.40277,0.65815,0.27121,0.19873,0.10157,1.95858,2.8912,2.10546,0.000180073,0.000180073,0.000180073
83,50.976,1.39884,1.437,1.68414,0.66149,0.3,0.22889,0.11641,1.96772,2.90307,2.1206,0.000171074,0.000171074,0.000171074
84,51.5511,1.06039,1.25988,1.33037,0.69989,0.28899,0.25728,0.12991,1.94096,2.9256,2.15876,0.000162075,0.000162075,0.000162075
85,52.2419,1.15903,1.41508,1.38807,0.50312,0.28927,0.25844,0.12967,1.89987,2.88641,2.15503,0.000153076,0.000153076,0.000153076
86,52.8016,1.05715,1.06359,1.47102,0.73299,0.27143,0.25028,0.12783,1.88295,2.97092,2.07922,0.000144077,0.000144077,0.000144077
87,53.3854,1.22994,1.09306,1.48953,0.78593,0.24007,0.23657,0.12058,1.83952,3.06339,2.04978,0.000135077,0.000135077,0.000135077
88,53.975,1.13794,0.97374,1.37259,0.31245,0.27143,0.23232,0.11232,1.84915,2.99103,1.99843,0.000126078,0.000126078,0.000126078
89,54.5415,1.11878,1.13541,1.29309,0.34432,0.26842,0.22175,0.11381,1.83745,2.92227,1.9874,0.000117079,0.000117079,0.000117079
90,55.0906,1.0815,1.0341,1.2429,0.56525,0.27143,0.23939,0.11963,1.82459,2.83308,1.98485,0.00010808,0.00010808,0.00010808
91,56.7251,1.20709,1.2292,1.37062,0.35643,0.27143,0.26427,0.15087,1.80339,2.73387,1.98803,9.9081e-05,9.9081e-05,9.9081e-05
92,57.3345,1.06529,1.69458,1.38558,0.37156,0.26547,0.27237,0.16436,1.73956,2.75468,1.93083,9.00819e-05,9.00819e-05,9.00819e-05
93,57.9265,1.22841,1.27258,1.35856,0.53206,0.26456,0.26725,0.14828,1.78865,2.86427,1.9307,8.10828e-05,8.10828e-05,8.10828e-05
94,58.6947,0.5439,3.06778,0.6867,0.58622,0.26494,0.26919,0.14523,1.79036,2.86371,1.92383,7.20837e-05,7.20837e-05,7.20837e-05
95,59.3294,1.17873,0.89172,1.35866,0.57978,0.26654,0.28005,0.13633,1.82814,2.95701,1.94693,6.30846e-05,6.30846e-05,6.30846e-05
96,59.9036,1.24978,1.4624,1.69778,0.56152,0.26178,0.27517,0.13858,1.89638,3.00202,1.99293,5.40855e-05,5.40855e-05,5.40855e-05
97,60.4829,1.16333,1.00733,1.38558,0.78105,0.24286,0.27625,0.13329,1.94977,2.9536,2.02996,4.50864e-05,4.50864e-05,4.50864e-05
98,61.0668,0.45979,2.20264,0.62557,0.77696,0.24286,0.27705,0.13537,1.97776,3.02354,2.0477,3.60873e-05,3.60873e-05,3.60873e-05
99,61.6281,1.01902,1.37612,1.38002,0.85257,0.24286,0.29094,0.14403,1.94833,2.96769,2.02113,2.70882e-05,2.70882e-05,2.70882e-05
100,62.2447,1.05383,0.88479,1.28005,0.83142,0.24286,0.29357,0.14313,1.95433,2.97798,2.03437,1.80891e-05,1.80891e-05,1.80891e-05
